,id,WalkScore,description
473,585,89,Very Walkable
474,586,0,Car-Dependent
475,587,13,Car-Dependent
476,588,2,Car-Dependent
477,590,0,Car-Dependent
478,592,55,Somewhat Walkable
479,593,33,Car-Dependent
480,594,1,Car-Dependent
481,596,21,Car-Dependent
482,597,68,Somewhat Walkable
483,600,45,Car-Dependent
484,601,58,Somewhat Walkable
485,602,74,Very Walkable
486,605,50,Somewhat Walkable
487,608,0,Car-Dependent
488,609,78,Very Walkable
489,610,16,Car-Dependent
490,612,50,Somewhat Walkable
491,613,78,Very Walkable
492,615,45,Car-Dependent
493,616,63,Somewhat Walkable
494,617,23,Car-Dependent
495,618,36,Car-Dependent
496,619,34,Car-Dependent
497,623,42,Car-Dependent
498,624,47,Car-Dependent
499,625,0,Car-Dependent
500,626,0,Car-Dependent
501,627,54,Somewhat Walkable
502,628,17,Car-Dependent
503,629,44,Car-Dependent
504,630,3,Car-Dependent
505,631,29,Car-Dependent
506,632,65,Somewhat Walkable
507,633,10,Car-Dependent
508,634,49,Car-Dependent
509,636,0,Car-Dependent
510,637,4,Car-Dependent
511,638,55,Somewhat Walkable
512,639,8,Car-Dependent
513,640,36,Car-Dependent
514,641,12,Car-Dependent
515,642,83,Very Walkable
516,643,3,Car-Dependent
517,644,58,Somewhat Walkable
518,645,85,Very Walkable
519,646,10,Car-Dependent
520,647,3,Car-Dependent
521,648,22,Car-Dependent
522,649,26,Car-Dependent
523,650,5,Car-Dependent
524,651,42,Car-Dependent
525,652,40,Car-Dependent
526,653,0,Car-Dependent
527,654,72,Very Walkable
528,655,1,Car-Dependent
529,656,2,Car-Dependent
530,657,0,Car-Dependent
531,658,68,Somewhat Walkable
532,659,14,Car-Dependent
533,661,65,Somewhat Walkable
534,662,5,Car-Dependent
535,663,38,Car-Dependent
536,664,31,Car-Dependent
537,665,11,Car-Dependent
538,666,0,Car-Dependent
539,668,71,Very Walkable
540,670,40,Car-Dependent
541,671,51,Somewhat Walkable
542,672,77,Very Walkable
543,673,2,Car-Dependent
544,674,0,Car-Dependent
545,676,25,Car-Dependent
546,678,25,Car-Dependent
547,679,31,Car-Dependent
548,680,71,Very Walkable
549,682,24,Car-Dependent
550,684,86,Very Walkable
551,689,1,Car-Dependent
552,691,45,Car-Dependent
553,692,53,Somewhat Walkable
554,696,63,Somewhat Walkable
555,698,63,Somewhat Walkable
556,701,56,Somewhat Walkable
557,702,32,Car-Dependent
558,703,0,Car-Dependent
559,707,60,Somewhat Walkable
560,708,83,Very Walkable
561,709,0,Car-Dependent
562,710,27,Car-Dependent
563,711,3,Car-Dependent
564,713,25,Car-Dependent
565,714,23,Car-Dependent
566,716,59,Somewhat Walkable
567,717,0,Car-Dependent
568,718,0,Car-Dependent
569,719,14,Car-Dependent
570,720,51,Somewhat Walkable
571,722,68,Somewhat Walkable
572,723,62,Somewhat Walkable
573,724,0,Car-Dependent
574,725,44,Car-Dependent
575,726,50,Somewhat Walkable
576,727,56,Somewhat Walkable
577,728,3,Car-Dependent
578,729,0,Car-Dependent
579,731,13,Car-Dependent
580,732,83,Very Walkable
581,733,19,Car-Dependent
582,739,66,Somewhat Walkable
583,741,22,Car-Dependent
584,742,38,Car-Dependent
585,747,36,Car-Dependent
586,749,48,Car-Dependent
587,755,0,Car-Dependent
588,757,40,Car-Dependent
589,759,0,Car-Dependent
590,761,0,Car-Dependent
591,766,1,Car-Dependent
592,768,0,Car-Dependent
593,769,54,Somewhat Walkable
594,770,62,Somewhat Walkable
595,771,44,Car-Dependent
596,772,3,Car-Dependent
597,773,87,Very Walkable
598,774,3,Car-Dependent
599,775,55,Somewhat Walkable
600,776,29,Car-Dependent
601,777,65,Somewhat Walkable
602,778,0,Car-Dependent
603,779,8,Car-Dependent
604,780,25,Car-Dependent
605,781,0,Car-Dependent
606,782,14,Car-Dependent
607,783,44,Car-Dependent
608,784,21,Car-Dependent
609,785,85,Very Walkable
610,786,84,Very Walkable
611,787,29,Car-Dependent
612,788,13,Car-Dependent
613,789,31,Car-Dependent
614,790,51,Somewhat Walkable
615,791,21,Car-Dependent
616,792,49,Car-Dependent
617,793,54,Somewhat Walkable
618,794,74,Very Walkable
619,795,54,Somewhat Walkable
620,796,13,Car-Dependent
621,797,65,Somewhat Walkable
622,798,8,Car-Dependent
623,799,36,Car-Dependent
624,801,6,Car-Dependent
625,802,54,Somewhat Walkable
626,804,11,Car-Dependent
627,805,0,Car-Dependent
628,807,0,Car-Dependent
629,808,37,Car-Dependent
630,814,4,Car-Dependent
631,815,28,Car-Dependent
632,818,67,Somewhat Walkable
633,819,14,Car-Dependent
634,820,74,Very Walkable
635,821,71,Very Walkable
636,823,31,Car-Dependent
637,824,6,Car-Dependent
638,828,61,Somewhat Walkable
639,832,60,Somewhat Walkable
640,833,54,Somewhat Walkable
641,834,7,Car-Dependent
642,836,7,Car-Dependent
643,837,0,Car-Dependent
644,838,17,Car-Dependent
645,840,0,Car-Dependent
646,841,11,Car-Dependent
647,842,7,Car-Dependent
648,843,31,Car-Dependent
649,844,0,Car-Dependent
650,845,54,Somewhat Walkable
651,846,78,Very Walkable
652,847,81,Very Walkable
653,848,31,Car-Dependent
654,849,51,Somewhat Walkable
655,850,36,Car-Dependent
656,851,76,Very Walkable
657,852,20,Car-Dependent
658,853,6,Car-Dependent
659,854,1,Car-Dependent
660,855,1,Car-Dependent
661,856,81,Very Walkable
662,857,0,Car-Dependent
663,858,4,Car-Dependent
664,859,18,Car-Dependent
665,860,0,Car-Dependent
666,861,30,Car-Dependent
667,862,23,Car-Dependent
668,863,46,Car-Dependent
669,864,14,Car-Dependent
670,865,64,Somewhat Walkable
671,866,52,Somewhat Walkable
672,869,75,Very Walkable
673,870,63,Somewhat Walkable
674,871,67,Somewhat Walkable
675,872,15,Car-Dependent
676,873,13,Car-Dependent
677,874,42,Car-Dependent
678,875,0,Car-Dependent
679,877,72,Very Walkable
680,879,0,Car-Dependent
681,880,85,Very Walkable
682,881,5,Car-Dependent
683,884,3,Car-Dependent
684,887,27,Car-Dependent
685,888,3,Car-Dependent
686,891,0,Car-Dependent
687,894,15,Car-Dependent
688,895,31,Car-Dependent
689,896,14,Car-Dependent
690,897,0,Car-Dependent
691,898,0,Car-Dependent
692,899,3,Car-Dependent
693,900,28,Car-Dependent
694,901,46,Car-Dependent
695,902,0,Car-Dependent
696,903,52,Somewhat Walkable
697,904,37,Car-Dependent
698,905,0,Car-Dependent
699,907,43,Car-Dependent
700,908,0,Car-Dependent
701,909,14,Car-Dependent
702,910,6,Car-Dependent
703,911,75,Very Walkable
704,912,0,Car-Dependent
705,914,0,Car-Dependent
706,915,7,Car-Dependent
707,916,26,Car-Dependent
708,917,55,Somewhat Walkable
709,919,43,Car-Dependent
710,921,17,Car-Dependent
711,922,61,Somewhat Walkable
712,923,54,Somewhat Walkable
713,924,57,Somewhat Walkable
714,925,1,Car-Dependent
715,928,1,Car-Dependent
716,933,49,Car-Dependent
717,935,59,Somewhat Walkable
718,937,90,Very Walkable
719,940,31,Car-Dependent
720,942,0,Car-Dependent
721,944,0,Car-Dependent
722,946,9,Car-Dependent
723,947,81,Very Walkable
724,950,75,Very Walkable
725,952,4,Car-Dependent
726,953,57,Somewhat Walkable
727,956,64,Somewhat Walkable
728,959,13,Car-Dependent
729,960,47,Car-Dependent
730,961,57,Somewhat Walkable
731,962,34,Car-Dependent
732,963,0,Car-Dependent
733,964,0,Car-Dependent
734,965,55,Somewhat Walkable
735,969,26,Car-Dependent
736,971,37,Car-Dependent
737,972,54,Somewhat Walkable
738,973,4,Car-Dependent
739,976,0,Car-Dependent
740,977,1,Car-Dependent
741,978,0,Car-Dependent
742,979,33,Car-Dependent
743,980,14,Car-Dependent
744,982,15,Car-Dependent
745,983,33,Car-Dependent
746,985,9,Car-Dependent
747,986,14,Car-Dependent
748,987,49,Car-Dependent
749,988,10,Car-Dependent
750,989,22,Car-Dependent
751,990,1,Car-Dependent
752,991,51,Somewhat Walkable
753,992,96,Walker's Paradise
754,993,2,Car-Dependent
755,994,2,Car-Dependent
756,995,10,Car-Dependent
757,996,3,Car-Dependent
758,997,16,Car-Dependent
759,998,3,Car-Dependent
760,999,32,Car-Dependent
761,1000,78,Very Walkable
762,1001,96,Walker's Paradise
763,1002,0,Car-Dependent
764,1003,45,Car-Dependent
765,1004,0,Car-Dependent
766,1005,32,Car-Dependent
767,1006,43,Car-Dependent
768,1007,46,Car-Dependent
769,1008,76,Very Walkable
770,1009,83,Very Walkable
771,1010,90,Walker's Paradise
772,1012,51,Somewhat Walkable
773,1013,3,Car-Dependent
774,1014,0,Car-Dependent
775,1015,0,Car-Dependent
776,1016,52,Somewhat Walkable
777,1017,20,Car-Dependent
778,1018,0,Car-Dependent
779,1019,4,Car-Dependent
780,1021,78,Very Walkable
781,1022,18,Car-Dependent
782,1024,4,Car-Dependent
783,1025,15,Car-Dependent
784,1027,4,Car-Dependent
785,1028,45,Car-Dependent
786,1029,73,Very Walkable
787,1032,3,Car-Dependent
788,1034,80,Very Walkable
789,1035,15,Car-Dependent
790,1036,16,Car-Dependent
791,1038,50,Somewhat Walkable
792,1039,7,Car-Dependent
793,1040,66,Somewhat Walkable
794,1041,0,Car-Dependent
795,1042,15,Car-Dependent
796,1043,58,Somewhat Walkable
797,1044,66,Somewhat Walkable
798,1045,11,Car-Dependent
799,1048,57,Somewhat Walkable
800,1050,24,Car-Dependent
801,1052,64,Somewhat Walkable
802,1053,62,Somewhat Walkable
803,1054,0,Car-Dependent
804,1057,4,Car-Dependent
805,1058,58,Somewhat Walkable
806,1060,69,Somewhat Walkable
807,1063,16,Car-Dependent
808,1064,83,Very Walkable
809,1066,85,Very Walkable
810,1067,43,Car-Dependent
811,1070,67,Somewhat Walkable
812,1071,42,Car-Dependent
813,1076,16,Car-Dependent
814,1078,0,Car-Dependent
815,1079,18,Car-Dependent
816,1080,4,Car-Dependent
817,1082,0,Car-Dependent
818,1083,57,Somewhat Walkable
819,1086,20,Car-Dependent
820,1087,13,Car-Dependent
821,1088,32,Car-Dependent
822,1089,0,Car-Dependent
823,1090,0,Car-Dependent
824,1091,64,Somewhat Walkable
825,1092,11,Car-Dependent
826,1093,81,Very Walkable
827,1094,27,Car-Dependent
828,1095,11,Car-Dependent
829,1096,1,Car-Dependent
830,1097,55,Somewhat Walkable
831,1099,32,Car-Dependent
832,1105,30,Car-Dependent
833,1107,45,Car-Dependent
834,1111,56,Somewhat Walkable
835,1112,83,Very Walkable
836,1116,55,Somewhat Walkable
837,1117,0,Car-Dependent
838,1119,80,Very Walkable
839,1122,46,Car-Dependent
840,1125,72,Very Walkable
841,1126,66,Somewhat Walkable
842,1127,42,Car-Dependent
843,1129,17,Car-Dependent
844,1130,0,Car-Dependent
845,1131,0,Car-Dependent
846,1132,46,Car-Dependent
847,1133,30,Car-Dependent
848,1134,8,Car-Dependent
849,1135,7,Car-Dependent
850,1137,78,Very Walkable
851,1138,37,Car-Dependent
852,1139,28,Car-Dependent
853,1140,0,Car-Dependent
854,1141,77,Very Walkable
855,1142,3,Car-Dependent
856,1143,0,Car-Dependent
857,1146,21,Car-Dependent
858,1148,78,Very Walkable
859,1149,77,Very Walkable
860,1150,0,Car-Dependent
861,1151,9,Car-Dependent
862,1152,0,Car-Dependent
863,1153,9,Car-Dependent
864,1154,67,Somewhat Walkable
865,1155,0,Car-Dependent
866,1156,31,Car-Dependent
867,1157,82,Very Walkable
868,1158,79,Very Walkable
869,1159,55,Somewhat Walkable
870,1160,23,Car-Dependent
871,1161,10,Car-Dependent
872,1162,51,Somewhat Walkable
873,1163,77,Very Walkable
874,1164,25,Car-Dependent
875,1166,34,Car-Dependent
876,1167,10,Car-Dependent
877,1168,29,Car-Dependent
878,1169,40,Car-Dependent
879,1170,55,Somewhat Walkable
880,1171,85,Very Walkable
881,1172,18,Car-Dependent
882,1173,38,Car-Dependent
883,1174,83,Very Walkable
884,1175,80,Very Walkable
885,1176,63,Somewhat Walkable
886,1177,63,Somewhat Walkable
887,1178,45,Car-Dependent
888,1179,0,Car-Dependent
889,1180,16,Car-Dependent
890,1181,29,Car-Dependent
891,1182,21,Car-Dependent
892,1183,29,Car-Dependent
893,1184,58,Somewhat Walkable
894,1186,46,Car-Dependent
895,1188,18,Car-Dependent
896,1189,78,Very Walkable
897,1197,56,Somewhat Walkable
898,1201,77,Very Walkable
899,1202,36,Car-Dependent
900,1205,8,Car-Dependent
901,1206,29,Car-Dependent
902,1210,45,Car-Dependent
903,1211,68,Somewhat Walkable
904,1213,57,Somewhat Walkable
905,1216,78,Very Walkable
906,1221,39,Car-Dependent
907,1223,13,Car-Dependent
908,1224,53,Somewhat Walkable
909,1225,62,Somewhat Walkable
910,11329,36,Car-Dependent
911,11330,33,Car-Dependent
912,11331,45,Car-Dependent
913,11332,56,Somewhat Walkable
914,11333,67,Somewhat Walkable
915,11334,13,Car-Dependent
916,11335,23,Car-Dependent
917,11336,0,Car-Dependent
918,11337,5,Car-Dependent
919,11338,14,Car-Dependent
920,11339,7,Car-Dependent
921,11340,80,Very Walkable
922,11341,5,Car-Dependent
923,11342,14,Car-Dependent
924,11344,32,Car-Dependent
925,11345,68,Somewhat Walkable
926,11346,0,Car-Dependent
927,11347,21,Car-Dependent
928,11348,11,Car-Dependent
929,11349,41,Car-Dependent
930,11350,9,Car-Dependent
931,11351,30,Car-Dependent
932,11352,22,Car-Dependent
933,11353,0,Car-Dependent
934,11354,0,Car-Dependent
935,11355,86,Very Walkable
936,11356,56,Somewhat Walkable
937,11357,81,Very Walkable
938,11358,61,Somewhat Walkable
939,11359,57,Somewhat Walkable
940,11995,54,Somewhat Walkable
941,11996,11,Car-Dependent
942,11997,50,Somewhat Walkable
943,11998,80,Very Walkable
944,11999,81,Very Walkable
945,12000,30,Car-Dependent
946,12001,5,Car-Dependent
947,12002,77,Very Walkable
948,12003,9,Car-Dependent
949,12004,67,Somewhat Walkable
950,12005,0,Car-Dependent
951,12006,53,Somewhat Walkable
952,12007,7,Car-Dependent
953,12008,3,Car-Dependent
954,12009,53,Somewhat Walkable
955,12010,63,Somewhat Walkable
956,12011,25,Car-Dependent
957,12012,20,Car-Dependent
958,12014,59,Somewhat Walkable
959,12015,31,Car-Dependent
960,12016,33,Car-Dependent
961,12017,79,Very Walkable
962,12018,29,Car-Dependent
